expression,reading,meaning,tags,JLPT Level
擦る,かする,"to rub, to chafe",JLPT_1 JLPT,1
火星,かせい,Mars,JLPT_1 JLPT,1
化石,かせき,"fossil, petrifaction, fossilization",JLPT_1 JLPT,1
河川,かせん,rivers,JLPT_1 JLPT,1
化繊,かせん,synthetic fibers,JLPT_1 JLPT,1
過疎,かそ,depopulation,JLPT_1 JLPT,1
片～,かた～,single ~,JLPT_1 JLPT,1
片言,かたこと,"broken (in reference to speaking style, e.g., Japanese)",JLPT_1 JLPT Intermediate_Japanese_Ln.13 Intermediate_Japanese,1
傾ける,かたむける,"to incline, to tilt, to bend",JLPT_1 JLPT,1
固める,かためる,"to harden, to freeze, to fortify",JLPT_1 JLPT,1
傍ら,かたわら,"beside(s, while, nearby",JLPT_1 JLPT,1
花壇,かだん,flower bed,JLPT_1 JLPT,1
家畜,かちく,"domestic animals, livestock, cattle",JLPT_1 JLPT,1
且つ,かつ,"yet, and",JLPT_1 JLPT,1
がっくり,がっくり,heartbroken,JLPT_1 JLPT,1
合唱,がっしょう,"chorus, singing in a chorus",JLPT_1 JLPT,1
がっしり,がっしり,"firmly, solidly, tough",JLPT_1 JLPT,1
合致,がっち,"agreement, concurrence, conforming to",JLPT_1 JLPT,1
がっちり,がっちり,"solidly built, tightly",JLPT_1 JLPT,1
かつて,かつて,"once, before, formerly",JLPT_1 JLPT,1
勝手,かって,"kitchen; one's way, selfishness",JLPT_1 JLPT,1
カット,カット,"cut, cutting",JLPT_1 JLPT,1
活発,かっぱつ,"vigor, active",JLPT_1 JLPT,1
合併,がっぺい,"combination, amalgamation, merger",JLPT_1 JLPT,1
カテゴリー,カテゴリー,category,JLPT_1 JLPT,1
叶う,かなう,to come true,JLPT_1 JLPT,1
叶える,かなえる,"to grant (request, wish)",JLPT_1 JLPT,1
金槌,かなづち,(iron) hammer,JLPT_1 JLPT,1
かなわない,かなわない,"be beyond one's power, be unable",JLPT_1 JLPT,1
加入,かにゅう,"becoming a member, admission",JLPT_1 JLPT,1
予て,かねて,"previously, already, lately",JLPT_1 JLPT,1
庇う,かばう,"to protect someone, to&nbsp;&nbsp;cover up for someone",JLPT_1 JLPT,1
株式,かぶしき,stock,JLPT_1 JLPT,1
かぶれる,かぶれる,to react to; to be influenced by,JLPT_1 JLPT,1
花粉,かふん,pollen,JLPT_1 JLPT,1
貨幣,かへい,"money, currency, coinage",JLPT_1 JLPT,1
構える,かまえる,to set up,JLPT_1 JLPT,1
過密,かみつ,crowded,JLPT_1 JLPT,1
噛み切る,かみきる,"to bite off, to gnaw through",JLPT_1 JLPT,1
カムバック,カムバック,comeback,JLPT_1 JLPT,1
カメラマン,カメラマン,cameraman,JLPT_1 JLPT,1
粥,かゆ,rice porridge,JLPT_1 JLPT,1
体付き,からだつき,"body build, figure",JLPT_1 JLPT,1
絡む,からむ,"to entangle, to entwine",JLPT_1 JLPT,1
かりに,かりに,"temporarily; if, for argument's sake",JLPT_1 JLPT,1
カルテ,カルテ,clinical records (GER: Karte),JLPT_1 JLPT,1
ガレージ,ガレージ,garage (at house),JLPT_1 JLPT,1
過労,かろう,"overwork, strain",JLPT_1 JLPT,1
かろうじて,かろうじて,"barely, narrowly",JLPT_1 JLPT,1
交す,かわす,to exchange,JLPT_1 JLPT,1
代る代る,かわるがわる,alternately,JLPT_1 JLPT,1
簡易,かんい,"simplicity, easiness, quasi-",JLPT_1 JLPT,1
灌漑,かんがい,irrigation,JLPT_1 JLPT,1
眼科,がんか,ophthalmology,JLPT_1 JLPT,1
眼球,がんきゅう,eyeball,JLPT_1 JLPT,1
玩具,がんぐ,toy,JLPT_1 JLPT,1
簡潔,かんけつ,"brevity, concise, simple",JLPT_1 JLPT,1
還元,かんげん,"resolution, reduction, return",JLPT_1 JLPT,1
看護,かんご,nursing,JLPT_1 JLPT,1
漢語,かんご,"Chinese word, Sino-Japanese word",JLPT_1 JLPT,1
頑固,がんこ,"stubbornness, obstinacy",JLPT_1 JLPT,1
勧告,かんこく,"advice, counsel",JLPT_1 JLPT,1
換算,かんさん,"conversion, change, exchange",JLPT_1 JLPT,1
監視,かんし,"observation, guarding, surveillance",JLPT_1 JLPT,1
慣習,かんしゅう,usual (historical) custom,JLPT_1 JLPT,1
観衆,かんしゅう,"spectators, audience",JLPT_1 JLPT,1
願書,がんしょ,application form,JLPT_1 JLPT,1
干渉,かんしょう,"interference, intervention",JLPT_1 JLPT,1
頑丈,がんじょう,"solid, firm, strong",JLPT_1 JLPT,1
感触,かんしょく,"sense of touch, feeling, sensation",JLPT_1 JLPT,1
肝心,かんじん,"essential, fundamental, crucial",JLPT_1 JLPT,1
肝腎,かんじん,"essential, fundamental, crucial",JLPT_1 JLPT,1
関税,かんぜい,"customs, duty, tariff",JLPT_1 JLPT,1
岩石,がんせき,rock,JLPT_1 JLPT,1
感染,かんせん,"infection, contagion",JLPT_1 JLPT,1
幹線,かんせん,"main line, trunk line",JLPT_1 JLPT,1
簡素,かんそ,"simplicity, plain",JLPT_1 JLPT,1
観点,かんてん,point of view,JLPT_1 JLPT,1
感度,かんど,"sensitivity, severity (quake)",JLPT_1 JLPT,1
カンニング,カンニング,"cunning, cheat",JLPT_1 JLPT,1
元年,がんねん,first year (of a specific reign),JLPT_1 JLPT,1
幹部,かんぶ,"management, executive",JLPT_1 JLPT,1
完ぺき,かんぺき,"perfection, completeness, flawless",JLPT_1 JLPT,1
勘弁,かんべん,"pardon, forgiveness, forbearance",JLPT_1 JLPT,1
感無量,かんむりょう,"deep feeling, filled with emotion",JLPT_1 JLPT,1
勧誘,かんゆう,"invitation, canvassing, inducement",JLPT_1 Intermediate_Japanese_Ln.5 JLPT Intermediate_Japanese,1
関与,かんよ,"participation, taking part in",JLPT_1 JLPT,1
寛容,かんよう,"forbearance, tolerance, generosity, involvement",JLPT_1 JLPT,1
元来,がんらい,"originally, naturally",JLPT_1 JLPT,1
観覧,かんらん,viewing,JLPT_1 JLPT,1
慣例,かんれい,"custom, precedent, of convention",JLPT_1 JLPT,1
還暦,かんれき,60th birthday,JLPT_1 JLPT,1
貫禄,かんろく,"presence, dignity",JLPT_1 JLPT,1
緩和,かんわ,"relief, mitigation",JLPT_1 JLPT,1
議案,ぎあん,legislative bill,JLPT_1 JLPT,1
危害,きがい,"injury, harm, danger",JLPT_1 JLPT,1
企画,きかく,"planning, project",JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,1
規格,きかく,"standard, norm",JLPT_1 JLPT,1
着飾る,きかざる,to dress up,JLPT_1 JLPT,1
気兼ね,きがね,"hesitance, diffidence, feeling constraint",JLPT_1 JLPT,1
気軽,きがる,"cheerful, buoyant, lighthearted",JLPT_1 JLPT,1
危機,きき,crisis,JLPT_1 JLPT,1
聞き取り,ききとり,listening comprehension,JLPT_1 JLPT,1
効き目,ききめ,"effect, virtue, efficacy",JLPT_1 JLPT,1
帰京,ききょう,returning to Tokyo,JLPT_1 JLPT,1
戯曲,ぎきょく,"play, drama",JLPT_1 JLPT,1
基金,ききん,"fund, foundation",JLPT_1 JLPT,1
喜劇,きげき,"comedy, funny show",JLPT_1 JLPT,1
議決,ぎけつ,"resolution, decision, vote",JLPT_1 JLPT,1
棄権,きけん,"abstain from voting, renunciation of a right",JLPT_1 JLPT,1
既婚,きこん,married,JLPT_1 JLPT,1
気障,きざ,"affectation, conceit, snobbery",JLPT_1 JLPT,1
記載,きさい,"mention, entry",JLPT_1 JLPT,1
兆,きざし,"sign, omen, indication",JLPT_1 JLPT,1
気質,きしつ,"character, trait, temperament",JLPT_1 JLPT,1
期日,きじつ,"fixed date, settlement date",JLPT_1 JLPT,1
きしむ,きしむ,"to jar, to creak, to grate",JLPT_1 JLPT,1
議事堂,ぎじどう,Diet building,JLPT_1 JLPT,1
記述,きじゅつ,"describing, descriptor",JLPT_1 JLPT,1
気象,きしょう,"weather, climate",JLPT_1 JLPT,1
傷付く,きずつく,"to be hurt, to be wounded, to get injured",JLPT_1 JLPT,1
傷付ける,きずつける,"to wound, to hurt someone's feelings",JLPT_1 JLPT,1
犠牲,ぎせい,sacrifice,JLPT_1 JLPT,1
汽船,きせん,steamship,JLPT_1 JLPT,1
寄贈,きぞう,"donation, presentation",JLPT_1 JLPT,1
偽造,ぎぞう,"forgery, fabrication, counterfeiting",JLPT_1 JLPT,1
貴族,きぞく,"noble, aristocrat",JLPT_1 JLPT,1
議題,ぎだい,"topic of discussion, agenda",JLPT_1 JLPT,1
鍛える,きたえる,"to forge, to train, to discipline",JLPT_1 JLPT,1
気立て,きだて,"good-natured, kind-hearted",JLPT_1 JLPT,1
来る,きたる,"to come, to approach,",JLPT_1 JLPT,1
きちっと,きちっと,"exactly, perfectly",JLPT_1 JLPT,1
几帳面,きちょうめん,"methodical, punctual, steady",JLPT_1 JLPT,1
きっかり,きっかり,"exactly, precisely",JLPT_1 JLPT,1
きっちり,きっちり,"precisely, tightly",JLPT_1 JLPT,1
きっぱり,きっぱり,"clearly, plainly, distinctly",JLPT_1 JLPT,1
規定,きてい,"regulation, provisions",JLPT_1 JLPT,1
起点,きてん,starting point,JLPT_1 JLPT,1
軌道,きどう,orbit; track,JLPT_1 JLPT,1
技能,ぎのう,"technical skill, ability, capacity",JLPT_1 JLPT,1
規範,きはん,"model, standard, example",JLPT_1 JLPT,1
気品,きひん,"grace, elegance",JLPT_1 JLPT,1
気風,きふう,"character, traits, ethos",JLPT_1 JLPT,1
起伏,きふく,undulation,JLPT_1 JLPT,1
規模,きぼ,"scale, scope, plan, structure",JLPT_1 JLPT,1
気まぐれ,きまぐれ,"whim, caprice, uneven temper",JLPT_1 JLPT,1
生真面目,きまじめ,"serious, sincerity",JLPT_1 JLPT,1
期末,きまつ,(end of the season or term),JLPT_1 JLPT,1
きまりわるい,きまりわるい,"feeling awkward, being ashamed",JLPT_1 JLPT,1
記名,きめい,"signature, register",JLPT_1 JLPT,1
規約,きやく,"agreement, rules, code",JLPT_1 JLPT,1
脚色,きゃくしょく,"dramatization (e.g., film",JLPT_1 JLPT,1
逆転,ぎゃくてん,"(sudden) change, reversal, turn-around",JLPT_1 JLPT,1
脚本,きゃくほん,scenario,JLPT_1 JLPT,1
華奢,きゃしゃ,"delicate, slender",JLPT_1 JLPT,1
客観,きゃっかん,objective,JLPT_1 JLPT,1
キャッチ,キャッチ,catch,JLPT_1 JLPT,1
キャリア,キャリア,"career, career government employee",JLPT_1 JLPT,1
救援,きゅうえん,"relief, rescue, reinforcement",JLPT_1 JLPT,1
休学,きゅうがく,"temporary absence from school, suspension",JLPT_1 JLPT,1
究極,きゅうきょく,"ultimate, final, eventual",JLPT_1 JLPT,1
窮屈,きゅうくつ,"narrow, tight, formal",JLPT_1 JLPT,1
球根,きゅうこん,(plant) bulb,JLPT_1 JLPT,1
救済,きゅうさい,"relief, aid, rescue",JLPT_1 JLPT,1
給仕,きゅうじ,waiter,JLPT_1 JLPT,1
給食,きゅうしょく,"school lunch, providing a meal",JLPT_1 JLPT,1
休戦,きゅうせん,"truce, armistice",JLPT_1 JLPT,1
宮殿,きゅうでん,palace,JLPT_1 JLPT,1
旧知,きゅうち,"old friend, old friendship",JLPT_1 JLPT,1
窮乏,きゅうぼう,poverty,JLPT_1 JLPT,1
寄与,きよ,"contribution, service",JLPT_1 JLPT,1
強,きょう,strong,JLPT_1 JLPT,1
～狂,～きょう,"maniac, fan, freak",JLPT_1 JLPT,1
驚異,きょうい,"wonder, miracle",JLPT_1 JLPT,1
教科,きょうか,"subject, curriculum",JLPT_1 JLPT,1
協会,きょうかい,"association, society, organization",JLPT_1 JLPT,1
共学,きょうがく,coeducation,JLPT_1 JLPT,1
共感,きょうかん,"sympathy, response",JLPT_1 JLPT,1
境遇,きょうぐう,"environment, circumstances",JLPT_1 JLPT,1
教訓,きょうくん,"lesson, precept, moral instruction",JLPT_1 JLPT,1
強行,きょうこう,"forcing, enforcement",JLPT_1 JLPT,1
強硬,きょうこう,"firm, vigorous, stubborn",JLPT_1 JLPT,1
教材,きょうざい,teaching materials,JLPT_1 JLPT,1
凶作,きょうさく,"bad harvest, poor crop",JLPT_1 JLPT,1
業者,ぎょうしゃ,"trader, merchant",JLPT_1 JLPT,1
教習,きょうしゅう,"training, instruction",JLPT_1 JLPT,1
郷愁,きょうしゅう,"nostalgia, homesickness",JLPT_1 JLPT,1
教職,きょうしょく,teaching profession,JLPT_1 JLPT,1
興じる,きょうじる,"to amuse oneself, to make merry",JLPT_1 JLPT,1
強制,きょうせい,"obligation, compulsion, enforcement",JLPT_1 JLPT,1
行政,ぎょうせい,administration,JLPT_1 JLPT,1
業績,ぎょうせき,"achievement, work, contribution",JLPT_1 JLPT,1
共存,きょうぞん,coexistence,JLPT_1 JLPT,1
協定,きょうてい,"arrangement, pact, agreement",JLPT_1 JLPT,1
郷土,きょうど,homeland,JLPT_1 JLPT,1
脅迫,きょうはく,"threat, coercion",JLPT_1 JLPT,1
業務,ぎょうむ,"business, duties, work",JLPT_1 JLPT,1
共鳴,きょうめい,"resonance, sympathy",JLPT_1 JLPT,1
郷里,きょうり,"birth-place, home town",JLPT_1 JLPT,1
強烈,きょうれつ,"strong, intense, severe",JLPT_1 JLPT,1
共和,きょうわ,"republicanism, cooperation",JLPT_1 JLPT,1
局限,きょくげん,"limit, localize",JLPT_1 JLPT,1
極端,きょくたん,"extreme, extremity",JLPT_1 JLPT,1
居住,きょじゅう,residence,JLPT_1 JLPT,1
拒絶,きょぜつ,"refusal, rejection",JLPT_1 JLPT,1
漁船,ぎょせん,fishing boat,JLPT_1 JLPT,1
漁村,ぎょそん,fishing village,JLPT_1 JLPT,1
拒否,きょひ,"denial, rejection, refusal",JLPT_1 JLPT,1
許容,きょよう,"permission, pardon",JLPT_1 JLPT,1
清らか,きよらか,"clean, pure, chaste",JLPT_1 JLPT,1
きらびやか,きらびやか,"gorgeous, gaudy, dazzling",JLPT_1 JLPT,1
～きり,～きり,only,JLPT_1 JLPT,1
義理,ぎり,"debt of gratitude, obligation",JLPT_1 JLPT,1
切替,きりかえ,"exchange, conversion, switchover",JLPT_1 JLPT,1
気流,きりゅう,atmospheric current,JLPT_1 JLPT,1
切れ目,きれめ,"break, pause, gap",JLPT_1 JLPT,1
疑惑,ぎわく,"doubt, misgivings, suspicion",JLPT_1 JLPT,1
極めて,きわめて,"exceedingly, extremely (written expression)",JLPT_1 JLPT Intermediate_Japanese_Ln.13 Intermediate_Japanese,1
近眼,きんがん,nearsightedness,JLPT_1 JLPT,1
緊急,きんきゅう,"urgent, pressing, emergency",JLPT_1 JLPT,1
近郊,きんこう,"suburbs, outskirts",JLPT_1 JLPT,1
均衡,きんこう,"equilibrium, balance",JLPT_1 JLPT,1
禁じる,きんじる,to prohibit,JLPT_1 JLPT,1
勤勉,きんべん,"industry, diligence",JLPT_1 JLPT,1
吟味,ぎんみ,"examination, careful investigation",JLPT_1 JLPT,1
勤務,きんむ,"service, duty, work",JLPT_1 JLPT,1
禁物,きんもつ,"taboo, forbidden thing",JLPT_1 JLPT,1
勤労,きんろう,"labor, exertion, diligent service",JLPT_1 JLPT,1
クイズ,クイズ,quiz,JLPT_1 JLPT,1
食い違う,くいちがう,"to cross each other, to differ",JLPT_1 JLPT,1
空間,くうかん,"space, room, airspace",JLPT_1 JLPT,1
空腹,くうふく,hunger,JLPT_1 JLPT,1
区画,くかく,"division, section, area",JLPT_1 JLPT,1
区間,くかん,section,JLPT_1 JLPT,1
茎,くき,stalk,JLPT_1 JLPT,1
区切り,くぎり,"an end, a stop, punctuation",JLPT_1 JLPT,1
くぐる,くぐる,to pass through; to go around,JLPT_1 JLPT,1
くじ (～をひく),くじ (～をひく),"lottery, lot",JLPT_1 JLPT,1
くじびき,くじびき,"lottery, drawn lot",JLPT_1 JLPT,1
くすぐったい,くすぐったい,ticklish,JLPT_1 JLPT,1
愚痴,ぐち,"idle complaint, grumble",JLPT_1 JLPT,1
口吟む,くちずさむ,to humble,JLPT_1 JLPT,1
嘴,くちばし,"beak, bill",JLPT_1 JLPT,1
朽ちる,くちる,to rot,JLPT_1 JLPT,1
覆す,くつがえす,"to overturn, to upset, to overthrow",JLPT_1 JLPT,1
くっきり,くっきり,"distinctly, clearly, boldly",JLPT_1 JLPT,1
屈折,くっせつ,"bending, indentation, refraction",JLPT_1 JLPT,1
ぐっと,ぐっと,"firmly, fast, more",JLPT_1 JLPT,1
首飾り,くびかざり,necklace,JLPT_1 JLPT,1
首輪,くびわ,"necklace, choker",JLPT_1 JLPT,1
組み込む,くみこむ,"to insert, to include, to cut in (printing)",JLPT_1 JLPT,1
組み合わせる,くみあわせる,"to join together, to combine, to join up",JLPT_1 JLPT,1
蔵,くら,"warehouse, cellar",JLPT_1 JLPT,1
グレー,グレー,"grey, gray",JLPT_1 JLPT,1
クレーン,クレーン,crane,JLPT_1 JLPT,1
玄人,くろうと,"expert, professional",JLPT_1 JLPT,1
黒字,くろじ,balance (figure) in the black,JLPT_1 JLPT,1
軍艦,ぐんかん,"warship, battleship",JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,1
軍事,ぐんじ,military affairs,JLPT_1 JLPT,1
君主,くんしゅ,"ruler, monarch",JLPT_1 JLPT,1
群集,ぐんしゅう,"(social) group, crowd, mob",JLPT_1 JLPT,1
群衆,ぐんしゅう,"(social) group, crowd, mob",JLPT_1 JLPT,1
軍備,ぐんび,"armaments, military preparations",JLPT_1 JLPT,1
軍服,ぐんぷく,military or naval uniform,JLPT_1 JLPT,1
芸,げい,"art, accomplishment, performance",JLPT_1 JLPT,1
経過,けいか,"passage, progress",JLPT_1 JLPT,1
軽快,けいかい,"lively, casual, light",JLPT_1 JLPT,1
警戒,けいかい,"warning, admonition, vigilance",JLPT_1 JLPT,1
敬具,けいぐ,Sincerely (used at the end of letter),Intermediate_Japanese_Ln.4 JLPT_1 JLPT Intermediate_Japanese,1
軽減,けいげん,"reduction, lessening",JLPT_1 JLPT,1
掲載,けいさい,"appearance (e.g., article in paper)",JLPT_1 JLPT,1
傾斜,けいしゃ,"inclination, slope, dip",JLPT_1 JLPT,1
形成,けいせい,formation,JLPT_1 JLPT,1
形勢,けいせい,"condition, situation, prospects",JLPT_1 JLPT,1
軽率,けいそつ,"thoughtless, careless, hasty",JLPT_1 JLPT,1
刑罰,けいばつ,"judgment, penalty, punishment",JLPT_1 JLPT,1
経費,けいひ,"expenses, cost, outlay",JLPT_1 JLPT,1
警部,けいぶ,police inspector,JLPT_1 JLPT,1
転換,てんかん,"convert, divert",JLPT_1 JLPT,1
転居,てんきょ,"moving, changing residence",JLPT_1 JLPT,1
転勤,てんきん,transfer (to another office of a company),JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,1
点検,てんけん,"inspection, examination, checking",JLPT_1 JLPT,1
電源,でんげん,"source of electricity, power (e.g., button on TV)",JLPT_1 JLPT,1
天国,てんごく,"paradise, heaven, Kingdom of Heaven",JLPT_1 JLPT,1
天才,てんさい,a genius,JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,1
天災,てんさい,"natural calamity, disaster",JLPT_1 JLPT,1
展示,てんじ,"exhibition, display",JLPT_1 JLPT,1
伝説,でんせつ,"tradition, legend, folklore",JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese,1
点線,てんせん,dotted line,JLPT_1 JLPT,1
転じる,てんじる,"to turn, to shift",JLPT_1 JLPT,1
転ずる,てんずる,"to turn, to shift",JLPT_1 JLPT,1
天体,てんたい,heavenly body,JLPT_1 JLPT,1
伝達,でんたつ,"transmission (e.g., news, communication, delivery)",JLPT_1 JLPT,1
天地,てんち,"heaven and earth, the universe",JLPT_1 JLPT,1
てんで,てんで,"(not) at all, altogether, entirely",JLPT_1 JLPT,1
転任,てんにん,change of post,JLPT_1 JLPT,1
展望,てんぼう,"view, outlook, prospect",JLPT_1 JLPT,1
伝来,でんらい,"ancestral, hereditary, imported",JLPT_1 JLPT,1
転落,てんらく,"fall, degradation",JLPT_1 JLPT,1
問い合わせる,といあわせる,"to inquire, to seek information",JLPT_1 JLPT,1
当～,とう～,"Our ~ (e.g., Hotel, plane, etc.)",JLPT_1 JLPT,1
胴,どう,"trunk, body, frame",JLPT_1 JLPT,1
同意,どうい,"agreement, consent; same meaning",JLPT_1 JLPT,1
動員,どういん,mobilization,JLPT_1 JLPT,1
同感,どうかん,"agreement, same opinion, same feeling",JLPT_1 JLPT,1
陶器,とうき,"pottery, ceramics",JLPT_1 JLPT,1
討議,とうぎ,"debate, discussion",JLPT_1 JLPT,1
動機,どうき,"motive, incentive",JLPT_1 JLPT,1
等級,とうきゅう,"grade, class",JLPT_1 JLPT,1
同級,どうきゅう,"the same grade, same class",JLPT_1 JLPT,1
同居,どうきょ,living together,JLPT_1 JLPT,1
登校,とうこう,attendance (at school),JLPT_1 JLPT,1
統合,とうごう,"integration, unification, synthesis",JLPT_1 JLPT,1
動向,どうこう,"trend, tendency, movement, attitude",JLPT_1 JLPT,1
投資,とうし,investment,JLPT_1 JLPT,1
同情,どうじょう,"sympathy, compassion, sympathize",JLPT_1 JLPT,1
道場,どうじょう,"(arch) dojo, hall used for martial arts training, mandala",JLPT_1 JLPT,1
統制,とうせい,"regulation, control",JLPT_1 JLPT,1
当選,とうせん,"being elected, winning the prize",JLPT_1 JLPT,1
逃走,とうそう,"flight, desertion, escape",JLPT_1 JLPT,1
統率,とうそつ,"command, generalship, leadership",JLPT_1 JLPT,1
到達,とうたつ,"reaching, attaining, arrival",JLPT_1 JLPT,1
統治,とうち,"rule, reign, governing",JLPT_1 JLPT,1
仕切る,しきる,"to partition, to divide, to mark off",JLPT_1 JLPT,1
資金,しきん,"funds, capital",JLPT_1 JLPT,1
軸,じく,"axis, stem, shaft",JLPT_1 JLPT,1
しくじる,しくじる,"to fail, to fall through, to blunder",JLPT_1 JLPT,1
仕組,しくみ,"structure, mechanism",JLPT_1 JLPT,1
死刑,しけい,death penalty,JLPT_1 JLPT,1
湿気る,しける,"to be damp, to be moist",JLPT_1 JLPT,1
施行,しこう,"enforcement, operation",JLPT_1 JLPT,1
思考,しこう,thought,JLPT_1 JLPT,1
志向,しこう,"intention, aim",JLPT_1 JLPT,1
嗜好,しこう,"taste, liking, preference",JLPT_1 JLPT,1
事項,じこう,"matter(s), item(s), facts",JLPT_1 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese,1
時刻表,じこくひょう,"timetable, (train) schedule",JLPT_1 JLPT Intermediate_Japanese_Ln.10 Intermediate_Japanese,1
地獄,じごく,hell,JLPT_1 JLPT,1
時差,じさ,time difference,JLPT_1 JLPT,1
自在,じざい,"freely, at will",JLPT_1 JLPT,1
視察,しさつ,"inspection, observation",JLPT_1 JLPT,1
資産,しさん,"property, fortune, assets",JLPT_1 JLPT,1
支持,しじ,support,JLPT_1 JLPT,1
自主,じしゅ,"independence, autonomy",JLPT_1 JLPT,1
自首,じしゅ,"surrender, give oneself up",JLPT_1 JLPT,1
刺繍,ししゅう,embroidery,JLPT_1 JLPT,1
市場,しじょう,(the) market (as a concept),JLPT_1 JLPT,1
辞職,じしょく,resignation,JLPT_1 JLPT,1
雫,しずく,drop (of water),JLPT_1 JLPT,1
システム,システム,system,JLPT_1 JLPT,1
沈める,しずめる,"to sink, to submerge",JLPT_1 JLPT,1
施設,しせつ,"establishment, facility",JLPT_1 JLPT,1
事前,じぜん,"prior, beforehand, in advance",JLPT_1 JLPT,1
子息,しそく,(hon.) son,JLPT_1 JLPT,1
持続,じぞく,"continuation, endurance",JLPT_1 JLPT,1
自尊心,じそんしん,"self-respect, conceit",JLPT_1 JLPT,1
慕う,したう,to yearn to adore,JLPT_1 JLPT,1
下心,したごころ,"secret intention, motive",JLPT_1 JLPT,1
下地,したじ,"groundwork, foundation",JLPT_1 JLPT,1
親しむ,したしむ,"to be intimate with, to befriend",JLPT_1 JLPT,1
下調べ,したしらべ,preliminary investigation,JLPT_1 JLPT,1
愛想,あいそう,sociability,JLPT JLPT_1,1
間柄,あいだがら,relationship,JLPT JLPT_1,1
合間,あいま,interval,JLPT JLPT_1,1
敢えて,あえて,"dare (to do), venture (to do), challenge (to do)",JLPT JLPT_1,1
仰ぐ,あおぐ,"to look up (to), to respect; to ask for",JLPT JLPT_1,1
垢,あか,"dirt, filth",JLPT JLPT_1,1
赤字,あかじ,"deficit, go in the red",JLPT JLPT_1,1
明かす,あかす,to reveal; to stay up,JLPT JLPT_1,1
赤らむ,あからむ,"to become red, to blush",JLPT JLPT_1,1
上がり,あがり,"ascent; income; completion, stop",JLPT JLPT_1,1
諦め,あきらめ,"resignation, reconciliation, consolation",JLPT JLPT_1,1
アクセル,アクセル,(abbr.) accelerator,JLPT JLPT_1,1
あくどい,あくどい,gaudy vicious,JLPT JLPT_1,1
顎,あご,chin,JLPT JLPT_1,1
憧れ,あこがれ,"yearning, longing, aspiration",Intermediate_Japanese Intermediate_Japanese_Ln.8 JLPT JLPT_1,1
麻,あさ,hemp,JLPT JLPT_1,1
あざ,あざ,"birthmark, bruise",JLPT JLPT_1,1
浅ましい,あさましい,"shameful, mean, despicable",JLPT JLPT_1,1
欺く,あざむく,to deceive,JLPT JLPT_1,1
鮮やか,あざやか,"vivid, clear",JLPT JLPT_1,1
嘲笑う,あざわらう,"to sneer at, to ridicule",JLPT JLPT_1,1
悪しからず,あしからず,"don't take me wrong, but..., I'm sorry",JLPT JLPT_1,1
味わい,あじわい,"flavor, relish",JLPT JLPT_1,1
焦る,あせる,"to be in a hurry, to be impatient",JLPT JLPT_1,1
あせる (こえが～),あせる (こえが～),"to fade, to discolor",JLPT JLPT_1,1
値,あたい,"value, price, worth",JLPT JLPT_1,1
値する,あたいする,"to be worth, to deserve",JLPT JLPT_1,1
悪化,あっか,"deterioration, worsen",JLPT JLPT_1,1
扱い,あつかい,"treatment, service",JLPT JLPT_1,1
呆気ない,あっけない,"not enough, too quick (short, long, etc.)",JLPT JLPT_1,1
あっさり,あっさり,"easily, readily, quickly",JLPT JLPT_1,1
斡旋,あっせん,"kind offices, mediation",JLPT JLPT_1,1
圧倒,あっとう,"overwhelm, overpower",JLPT JLPT_1,1
圧迫,あっぱく,"pressure, coercion, oppression",JLPT JLPT_1,1
あつらえる,あつらえる,"to give an order, to place an order",JLPT JLPT_1,1
圧力,あつりょく,"stress, pressure",JLPT JLPT_1,1
当て,あて,expectations; depend,JLPT JLPT_1,1
～宛,～あて,"for…(e.g., In a letter)",JLPT JLPT_1,1
当て字,あてじ,"phonetic-equivalent character, substitute character",JLPT JLPT_1,1
跡継ぎ,あとつぎ,"heir, successor",JLPT JLPT_1,1
後回し,あとまわし,"putting off, postponing",JLPT JLPT_1,1
油絵,あぶらえ,oil painting,JLPT JLPT_1,1
アプローチ,アプローチ,approach (in golf),JLPT JLPT_1,1
あべこべ,あべこべ,"contrary, opposite, inverse",JLPT JLPT_1,1
甘える,あまえる,"to behave like a spoiled child, to fawn on",JLPT JLPT_1,1
雨具,あまぐ,rain gear,JLPT JLPT_1,1
甘口,あまくち,sweet flavor,JLPT JLPT_1,1
アマチュア,アマチュア,amateur,JLPT JLPT_1,1
網,あみ,net,JLPT JLPT_1,1
操る,あやつる,"to manipulate, to operate, to pull strings",JLPT JLPT_1,1
危ぶむ,あやぶむ,"to fear, to have misgivings, to be doubtful",JLPT_1 JLPT,1
あやふや,あやふや,"uncertain, vague, ambiguous",JLPT_1 JLPT,1
過ち,あやまち,"fault, error, indiscretion",JLPT_1 JLPT,1
誤る,あやまる,to make a mistake,JLPT_1 JLPT,1
歩み,あゆみ,"step, progress, history",JLPT_1 JLPT,1
歩む,あゆむ,to walk,JLPT_1 JLPT,1
予め,あらかじめ,"in advance, previously",JLPT_1 JLPT,1
